"","FileFormat","FileSize","DatasetType","SurveyNum","SurveyId","FileType","FileDateLastModified","SurveyYearLabel","SurveyType","SurveyYear","DHS_CountryCode","FileName","CountryName","URLS","Africa","avail"
"5","Stata dataset (.dta)","6132612","Survey Datasets","477","AO2015DHS","Births Recode","June, 28 2017 10:23:44","2015-16","DHS","2015","AO","AOBR71DT.ZIP","Angola","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOBR71DT.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm",1,"publicly available"
"71","Flat ASCII data (.dat)","70632","GPS Datasets","477","AO2015DHS","Geographic Data","July, 03 2017 10:59:00","2015-16","DHS","2015","AO","AOGE71FL.zip","Angola","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOGE71FL.zip&Tp=2&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm",1,"publicly available"
"72","Stata dataset (.dta)","2181595","Survey Datasets","87","BJ1996DHS","Births Recode","May, 15 2007 12:15:30","1996","DHS","1996","BJ","BJBR31dt.zip","Benin","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR31DT.zip&Tp=1&Ctry_Code=BJ&surv_id=87&dm=1&dmode=nm",1,"publicly available"
"76","Stata dataset (.dta)","3061981","Survey Datasets","211","BJ2001DHS","Births Recode","May, 15 2007 12:30:36","2001","DHS","2001","BJ","BJBR41dt.zip","Benin","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR41DT.zip&Tp=1&Ctry_Code=BJ&surv_id=211&dm=1&dmode=nm",1,"publicly available"
"80","Stata dataset (.dta)","8568857","Survey Datasets","289","BJ2006DHS","Births Recode","May, 21 2010 10:47:32","2006","DHS","2006","BJ","BJBR51DT.ZIP","Benin","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR51DT.zip&Tp=1&Ctry_Code=BJ&surv_id=289&dm=1&dmode=nm",1,"publicly available"
"84","Stata dataset (.dta)","6507446","Survey Datasets","420","BJ2012DHS","Births Recode","July, 17 2018 15:04:58","2011-12","DHS","2012","BJ","BJBR61DT.ZIP","Benin","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR61DT.zip&Tp=1&Ctry_Code=BJ&surv_id=420&dm=1&dmode=nm",1,"publicly available"
"88","Stata dataset (.dta)","7162371","Survey Datasets","491","BJ2017DHS","Births Recode","April, 01 2019 09:59:42","2017-18","DHS","2017","BJ","BJBR71DT.ZIP","Benin","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR71DT.zip&Tp=1&Ctry_Code=BJ&surv_id=491&dm=1&dmode=nm",1,"publicly available"
"257","Flat ASCII data (.dat)","25789","GPS Datasets","87","BJ1996DHS","Geographic Data","March, 03 2012 11:31:58","1996","DHS","1996","BJ","BJGE33FL.zip","Benin","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJGE33FL.zip&Tp=2&Ctry_Code=BJ&surv_id=87&dm=1&dmode=nm",1,"publicly available"
"258","Flat ASCII data (.dat)","57237","GPS Datasets","211","BJ2001DHS","Geographic Data","March, 05 2012 18:26:54","2001","DHS","2001","BJ","BJGE42FL.zip","Benin","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJGE42FL.zip&Tp=2&Ctry_Code=BJ&surv_id=211&dm=1&dmode=nm",1,"publicly available"
"259","Flat ASCII data (.dat)","74053","GPS Datasets","420","BJ2012DHS","Geographic Data","March, 03 2014 10:24:00","2011-12","DHS","2012","BJ","BJGE61FL.ZIP","Benin","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJGE61FL.zip&Tp=2&Ctry_Code=BJ&surv_id=420&dm=1&dmode=nm",1,"publicly available"
